id_orang,nik,nama,id_jenis_kelamin,id_agama,id_pernikahan,id_golongan_darah,id_alamat,tempat_lahir_kota,tanggal_lahir
36,3471012506760002,"dr. Wahyu Hidayat, Sp.U",1,1,1,4,0,227,1976-06-25
37,6171017709880005,Maria Goretti,2,2,1,3,11,327,1988-09-07
38,3277053103010003,Farid Zulkarnain,1,1,2,1,13,264,2001-03-31
39,3578015404830002,"dr. Dian Kusumawati, Sp.THT",2,1,1,2,5,264,1983-04-14
40,3201012806790001,"dr. Irwan Saleh, Sp.KJ",1,1,1,3,3,161,1979-06-28
41,3273014409870004,"dr. Lestari Handayani, Sp.GK",2,1,2,1,7,181,1987-09-04
42,3174011507810003,"dr. Bayu Aditya, Sp.EM",1,1,1,4,4,159,1981-07-15
43,3578016303850002,"dr. Putri Rahayu, Sp.KFR",2,1,1,2,9,264,1985-03-23
44,3471012209780001,"dr. Gunawan Santoso, Sp.PA",1,1,1,1,10,227,1978-09-22
45,3374016510820003,"dr. Mira Octaviani, Sp.Onk",2,1,1,3,8,220,1982-10-25
46,3578011205850002,Ridwan Fauzi,1,1,1,2,5,264,1985-05-12
47,3374014507880003,Eka Sulistyawati,2,1,2,1,2,220,1988-07-05
48,3201012803900001,Doni Prasetya,1,1,2,3,3,161,1990-03-28
49,3273015609870004,Fitri Handayani,2,1,2,4,7,181,1987-09-16
50,3578013001920002,Hendri Kurniawan,1,1,1,1,9,264,1992-01-30
51,3174016208860003,Wulandari Dewi,2,1,1,2,4,159,1986-08-22
52,3471010504890001,Agung Prabowo,1,1,1,3,10,227,1989-04-05
53,3578016712840002,Nurul Hidayah,2,1,2,1,5,264,1984-12-27
54,3201011503930003,Taufik Hidayat,1,1,1,4,3,161,1993-03-15
55,3273014809910004,Rini Setyawati,2,1,2,2,7,181,1991-09-08
56,3174012106880002,Yanto Supriyadi,1,1,1,1,4,159,1988-06-21
57,3578014403870001,Desi Ratnasari,2,1,2,3,5,264,1987-03-04
58,3374011007960003,Budi Hartono,1,1,2,4,2,220,1996-07-10
59,3578056203950002,Citra Meliani,2,1,2,2,5,264,1995-03-22
60,3201011809880003,Wahyu Nugroho,1,1,2,1,3,161,1988-09-18
61,3273015504010004,Salma Azzahra,2,1,2,3,7,181,2001-04-15
62,3471012207930001,Dimas Prasetyo,1,1,2,4,10,227,1993-07-22
63,3578054811970002,Ayu Permatasari,2,1,2,1,9,264,1997-11-08
64,3374011305850003,Muhamad Rizky,1,1,1,2,2,220,1985-05-13
65,3578016507920001,Rina Wulandari,2,1,2,1,5,264,1992-07-25
66,3201011203880002,Agus Salim,1,1,1,2,3,161,1988-03-12
67,3273014509950003,Putri Maharani,2,1,2,4,7,181,1995-09-05
68,3471011806900001,Faisal Ramadhan,1,1,1,3,10,227,1990-06-18
69,3578054104870002,Indah Permata,2,1,2,1,9,264,1987-04-01
70,3374012208930003,Rizal Anwar,1,1,1,2,2,220,1993-08-22
